WinRate,ImbVolume,ImbRatio,AdvDetection,PATIMachineLearningInputsV2-P1-BollingerDiff,PATIMachineLearningInputsV2-P1-MovingAvgDiff,PATIMachineLearningInputsV2-P1-VolumeSpeedPerSecond,PATIMachineLearningInputsV2-P1-StdDevBB,PATIMachineLearningInputsV2-P1-TimeOfDay,ReverseStrength-P2-ReverseStrengthLine,ReverseStrength-P3-ReverseStrengthLine
0.65,71,1.72,99,5.4,6.04,6.06,2.8,94934.06,5670.87,5678.67
0.65,27,1.73,37,6.2,2.56,7.03,2.6,132044.03,5692,5696.8
0.65,68,1.73,93,8.48,3.5,238.02,2.5,160002.02,5564.07,5571
0.65,25,1.74,34,10.86,2.24,198.02,3.76,143227.02,5481.8,5489.46
0.65,31,1.74,42,16.2,4.7,10.09,7.8,71741.09,5585.02,5598
0.65,31,1.74,42,15.08,3.05,15.7,6.03,203906.7,5454.06,5470.02
0.65,32,1.74,43,2.08,1.79,30.02,1.27,172615.02,5520.15,5524.6
0.65,30,1.75,40,4.29,3.76,56.03,1.7,191043.03,5558.97,5563.88
0.65,36,1.75,48,13.1,1.7,4.05,5.6,61021.05,5489.4,5501.01
0.65,45,1.75,60,10.07,1.06,113.03,1.97,195202.03,5710.75,5716.6
0.65,50,1.75,67,15.7,13.02,5.08,6.6,23461.08,5478.8,5491.02
0.65,29,1.76,38,4.96,2.7,68.04,1.05,175445.04,5463.7,5468.03
0.65,39,1.76,51,12.7,5.06,4.05,3.01,63045.05,5597.7,5606.2
0.65,69,1.76,91,5.02,2.4,47.02,1.34,181508.02,5553.99,5559.69
0.65,30,1.77,39,6.27,0.54,46.02,1.67,191509.02,5466.58,5472.2
0.65,33,1.77,43,4.1,2.86,52.04,2.6,134742.04,5612.78,5618.02
0.65,34,1.77,44,8.9,2.01,2.07,2.5,220501.07,5500,5507.4
0.65,36,1.77,47,6.48,8.49,11.03,6.64,70142.03,5691.98,5698.29
0.65,40,1.77,52,2.42,1.8,26.01,1.36,173309.01,5610.57,5614.09
0.65,40,1.77,52,4.26,2.8,68.05,1.36,190300.05,5581.06,5586.9
0.65,46,1.77,60,3.64,1.84,30.03,1.08,180205.03,5609.76,5615.02
0.65,87,1.77,113,4.8,2.97,100.04,1.4,140816.04,5655.06,5659.18
0.65,25,1.78,32,11.02,7.5,2.07,7.7,33747.07,5483.06,5493.2
0.65,28,1.78,36,7.14,0.1,11.02,4.73,125512.02,5589.98,5596.97
0.65,35,1.78,45,7,1.14,30.02,4.26,200810.02,5598.54,5607.5
0.65,40,1.78,51,8.49,2.3,39.03,1.68,163606.03,5509.24,5516.02
0.65,47,1.78,60,4.03,1.9,57.01,1.3,153142.01,5683.97,5687.4
0.65,26,1.79,33,7.59,1.87,7.01,1.66,120536.01,5556.59,5562.67
0.65,38,1.79,48,18.6,7.47,16.01,4.35,74550.01,5575.8,5590.64
0.65,61,1.79,77,10.4,3.04,7.2,4.01,111836.2,5573.04,5583
0.65,108,1.79,137,6.43,2.54,47.01,2.23,163632.01,5642.3,5647.37
0.65,32,1.8,40,4.39,4.16,15.03,1.8,131118.03,5544.87,5549.44
0.65,37,1.8,46,2.9,0.1,7.02,1.05,125533.02,5633.3,5637.47
0.65,40,1.8,50,1.49,3.2,35.05,2.88,170805.05,5683.3,5686.39
0.65,41,1.8,51,12.02,8.05,9.3,4.03,75337.3,5575.02,5587.6
0.65,49,1.8,61,3.27,1.45,28.03,2.7,162934.03,5514.65,5519.18
0.65,26,1.81,32,4.15,3.04,8.03,2.26,125640.03,5595.38,5601.5
0.65,31,1.82,38,12.01,1.08,3.6,3.1,101929.6,5566.08,5578.04
0.65,58,1.82,71,2.7,0.1,3.04,1.9,104813.04,5590.98,5595.47
0.65,73,1.83,88,2.82,2.73,36.01,0.8,153110.01,5624.29,5627.92
0.65,26,1.84,31,6.1,8.6,3.05,6.7,54413.05,5519.2,5527.09
0.65,26,1.84,31,11.99,1.99,8.02,4.5,205325.02,5453.79,5468.09
0.65,27,1.84,32,4.97,1,21.01,0.79,181156.01,5698.43,5702.74
0.65,43,1.84,51,8.8,6.3,4.04,7.4,35218.04,5432.1,5443.9
0.65,51,1.84,61,3.87,2.36,58.02,1.5,183101.02,5491.44,5495.9
0.65,40,1.85,47,6.7,1.01,122.01,1.93,194304.01,5465.59,5472
0.65,53,1.85,62,4.09,4.03,1.4,3.07,53627.4,5689.07,5694.04
0.65,36,1.86,42,12.05,1.3,4,3.5,101930,5566.3,5578.08
0.65,44,1.86,51,2.79,3.5,8.07,1.5,132134.07,5545.4,5549.28
0.65,49,1.86,57,4.78,1.56,11.05,1.3,132700.05,5685.19,5689.89
0.65,60,1.86,70,4.93,0.24,18.02,1.05,175202.02,5696.09,5700.9
0.65,72,1.86,84,14.05,4.1,3.7,5.03,1202.7,5629.08,5636.1
0.65,133,1.87,153,3.7,2.6,11.1,3.03,201656.1,5683.04,5686.07
0.65,29,1.88,33,7.73,0.65,79.02,2.15,142019.02,5477.87,5484.85
0.65,29,1.88,33,12.8,2.07,5.8,3.03,95804.8,5564.09,5576.09
0.65,29,1.88,33,6.77,9.24,105.02,5.65,152430.02,5513.59,5520.77
0.65,51,1.88,58,4.9,0.67,4.04,1.5,205521.04,5549,5553.27
0.65,25,1.89,28,11.03,7.03,6.3,2.05,73752.3,5461.01,5471.06
0.65,67,1.89,75,5.97,1.2,2.04,1.26,13333.04,5681.46,5685
0.65,55,1.9,61,19.5,3.7,7.01,4.8,3214.01,5449.6,5467.8
0.65,29,1.91,32,11.05,11,4.2,4.9,22339.2,5475.01,5487.6
0.65,30,1.91,33,11.08,5.04,6.3,3.07,83715.3,5573.8,5588.05
0.65,31,1.91,34,12.8,3.04,11.1,4.8,73803.1,5465.09,5477
0.65,39,1.91,43,3.56,1.56,158.04,1.97,183534.04,5549.01,5554.03
0.65,60,1.91,66,6.67,2.02,49.06,1.5,192154.06,5453.8,5461.9
0.65,25,1.93,27,6.4,1.4,2.8,3.3,10308.8,5587.08,5592.2
0.65,27,1.93,29,12.7,1.05,5.2,4.07,81942.2,5508.9,5518.3
0.65,27,1.93,29,15.4,1.7,6.04,3.9,100931.04,5565.6,5578.08
0.65,29,1.94,31,9.08,6.8,4.1,8.04,35839.1,5432.4,5444.01
0.65,33,1.94,35,12.03,2.03,8.06,4.9,205325.06,5454.01,5468.4
0.65,49,1.94,52,7.4,4.01,98.03,2.5,124511.03,5697.25,5703.6
