WinRate,ImbVolume,ImbRatio,AdvDetection,PATIMachineLearningInputsV2-P1-BollingerDiff,PATIMachineLearningInputsV2-P1-MovingAvgDiff,PATIMachineLearningInputsV2-P1-VolumeSpeedPerSecond,PATIMachineLearningInputsV2-P1-StdDevBB,PATIMachineLearningInputsV2-P1-TimeOfDay,ReverseStrength-P2-ReverseStrengthLine,ReverseStrength-P3-ReverseStrengthLine
0.66,26,1.43,60,57.84,3.77,129.03,10.4,200008.03,19130.94,19171.75
0.66,32,1.43,75,57.98,8.1,79.02,12.36,133239.02,19181.54,19213.43
0.66,27,1.44,61,46.68,11.17,55.02,12.76,134139.02,19542.88,19582.77
0.66,62,1.44,140,44.02,9.06,5.6,7.07,131849.6,20600.05,20635.02
0.66,31,1.47,66,31.8,16.7,76.06,11.99,133338.06,19161.7,19196.4
0.66,33,1.52,64,53.67,5.17,209.02,8.4,154829.02,19146.96,19190.54
0.66,37,1.55,67,27.8,22.65,44.04,15.01,135719.04,20477.17,20518.98
0.66,32,1.56,57,24.72,21,31.01,14.09,135422.01,20473.5,20509.56
0.66,25,1.57,44,40.2,25.03,1.7,12.5,50529.7,20704.05,20737.06
0.66,28,1.57,49,18.02,13.9,3.07,10.2,113811.07,20601.49,20635.78
0.66,29,1.57,51,54.05,14.1,2.4,11.04,93024.4,19913.08,19955.03
0.66,32,1.58,55,20.04,14.9,5.3,10.6,114406.3,20603.1,20638.6
0.66,37,1.58,64,45.46,8.45,55.03,5.2,143204.03,19432.2,19465.19
0.66,31,1.61,51,23.69,4.25,12.02,6.7,150901.02,19436.8,19467.1
0.66,27,1.63,43,42.18,23.6,3.03,8.26,120554.03,20708.26,20746.18
0.66,30,1.65,46,25.88,17.5,14.02,11.46,184347.02,19487.17,19527.76
0.66,40,1.65,62,25.04,3.05,7.3,6.06,201626.3,19876.01,19912.7
0.66,31,1.67,46,23.06,14.9,14.08,7.8,153019.08,20536.05,20565.05
0.66,27,1.69,39,16.76,13.6,24.05,6.8,140709.05,20631.7,20666.7
0.66,32,1.7,46,22.66,26.64,36.02,7.64,151116.02,20719.75,20758.6
0.66,30,1.73,41,21.55,19.56,13.01,12.92,171208.01,19043.19,19079.76
0.66,47,1.73,64,18.02,14.02,4.4,11.05,112931.4,20601.05,20634.8
0.66,25,1.74,34,22.13,12.1,30.02,7.98,192010.02,20457.99,20493.74
0.66,25,1.74,34,17.8,7.6,17.07,6.6,151341.07,19444.02,19475.02
0.66,43,1.74,58,27.77,22.62,44.01,14.8,135719.01,20477.14,20518.95
0.66,25,1.76,33,23.03,4.2,16.04,6.6,190901.04,19210.58,19242.99
0.66,44,1.76,58,25.5,3.5,6.05,5.8,202128.05,19877.99,19914.48
0.66,36,1.77,47,26.99,6,38.05,9.02,144106.05,20132.99,20167.6
0.66,40,1.78,51,27.36,18.58,28.02,14.6,135229.02,20464.58,20502.76
0.66,31,1.79,39,38.25,8.08,38.03,7.01,161024.03,18559.47,18600.96
0.66,34,1.79,43,20.55,1.95,25.04,8.6,142410.04,20124,20157.6
0.66,37,1.79,47,18.5,3.09,14.7,11.05,155657.7,20730.06,20765.01
0.66,42,1.79,53,21.84,10.06,10.02,10.44,200955.02,20577.05,20609.94
0.66,46,1.79,58,41.35,6.9,4.04,5.29,203028.04,19881.9,19922.58
0.66,33,1.8,41,61.01,26.7,4.1,16.9,233438.1,20676.6,20713.5
0.66,34,1.81,42,48.9,14.68,25.03,9.77,125430.03,19180.75,19219.7
0.66,27,1.82,33,25.09,14.07,3,12.05,225516,20874.6,20912.2
0.66,31,1.82,38,23.87,12.89,16.04,7.9,191908.04,20455.97,20491.28
0.66,26,1.84,31,30.9,10.89,4.07,6.7,122735.07,19903.9,19941.9
0.66,29,1.88,33,34.14,5.49,5.01,6.65,110119.01,19204.3,19238.25
0.66,43,1.88,49,34.1,9.19,18.04,5.6,180712.04,19953.9,19987.9
0.66,25,1.89,28,23.8,1.9,14.07,4.01,183940.07,20037.8,20072.4
